cycle,range_bin,doppler_bin,output_hex
1114075000,0,0,ff70fe67
1114085000,0,1,00bf0008
1114095000,0,2,0037026e
1114105000,0,3,fefafcd7
1114115000,0,4,011e0202
1114125000,0,5,fec5fe31
1114135000,0,6,009601f2
1114145000,0,7,feadff76
1114155000,0,8,020dffd0
1114165000,0,9,fd850022
1114175000,0,10,01810067
1114185000,0,11,fefefef9
1114195000,0,12,026c019f
1114205000,0,13,fe18ff54
1114215000,0,14,009effc8
1114225000,0,15,fff1005c
1114235000,0,16,fedc000f
1114245000,0,17,020bffb8
1114255000,0,18,fe3b00f4
1114265000,0,19,01bafeff
1114275000,0,20,ff6e00aa
1114285000,0,21,0005ff21
1114295000,0,22,ffa00050
1114305000,0,23,fffdff84
1114315000,0,24,00e300fa
1114325000,0,25,0049fdb6
1114335000,0,26,fdc90343
1114345000,0,27,015eff71
1114355000,0,28,0064fee5
1114365000,0,29,ff36ffc2
1114375000,0,30,01d8003a
1114385000,0,31,fea500aa
1119455000,1,0,006800ce
1119465000,1,1,ff90fdb4
1119475000,1,2,007d0318
1119485000,1,3,ff85fcac
1119495000,1,4,00b90262
1119505000,1,5,ffeafd76
1119515000,1,6,ff9902b7
1119525000,1,7,ff9eff01
1119535000,1,8,ffa6008c
1119545000,1,9,01f7ff90
1119555000,1,10,fda000c8
1119565000,1,11,00caff4a
1119575000,1,12,02180138
1119585000,1,13,fe81fdc4
1119595000,1,14,ff7d021e
1119605000,1,15,01e9fe1e
1119615000,1,16,fe3000e2
1119625000,1,17,00deff38
1119635000,1,18,fff90122
1119645000,1,19,0041ff18
1119655000,1,20,004b0082
1119665000,1,21,fd88003a
1119675000,1,22,026dfe65
1119685000,1,23,fdfc00e3
1119695000,1,24,02ae0004
1119705000,1,25,fddb0030
1119715000,1,26,0016003a
1119725000,1,27,009cfef6
1119735000,1,28,00100114
1119745000,1,29,ffcd0068
1119755000,1,30,0019fe4a
1119765000,1,31,ff710142
1124835000,2,0,ff43ff79
1124845000,2,1,ff68ffbc
1124855000,2,2,023a01b0
1124865000,2,3,fdb5fd14
1124875000,2,4,00bc030b
1124885000,2,5,0082fdb0
1124895000,2,6,feea00f8
1124905000,2,7,008aff30
1124915000,2,8,000a024f
1124925000,2,9,ff3afd5f
1124935000,2,10,00b4015f
